---------------------------------------------------------------------------------------------------------------------------------------------------
|Sol.pedido|Pos.|Fe.solic. |Material|Creado por|Texto breve                             |Pedido    |  Cantidad|Ce. |GCp||B|Gest.       |Stat.trat.|
---------------------------------------------------------------------------------------------------------------------------------------------------
|1300139295|  10|11.11.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |        2 |CA12|H04|| |            |03        |
|1300139297|  10|11.11.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |        1 |CA12|H04|| |            |03        |
|1300139298|  10|11.11.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |        1 |CA12|H04|| |            |03        |
|1300139300|  10|11.11.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |        1 |CA12|H04|| |            |03        |
|1300139301|  10|11.11.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |        1 |CA12|H04|| |            |03        |
|1300139302|  10|11.11.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |        1 |CA12|H04|| |            |03        |
|1300139294|  10|10.11.2025|80038758|ADMCC_POD |AYB ALGODON DE AZUCAR J.ARIAS           |          |       20 |CA15|RD2|| |            |03        |
|1300139294|  20|10.11.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |       70 |CA15|RD2|| |            |03        |
|1300139294|  30|10.11.2025|80038764|ADMCC_POD |AYB FRESAS CON CHOCOLATE J.ARIAS        |          |       70 |CA15|RD2|| |            |03        |
|1300139294|  40|10.11.2025|80038763|ADMCC_POD |AYB HAMBURGUESA WRAPS J.ARIAS           |          |      100 |CA15|RD2|| |            |03        |
|1300139294|  50|10.11.2025|80033713|ADMCC_POD |CANCHA FUT5 AMERICAS FRAN-A CUB F.SITE  |          |      100 |CA15|RD2|| |            |03        |
|1300139292|  10|31.10.2025|80038759|GONZFERN  |AYB CRISPETAS J.ARIAS                   |          |        5 |CE53|RC2|| |            |03        |
|1300139293|  10|31.10.2025|80035263|GONZFERN  |PHOTO VIDEO BOOTH 360° 2H SAONA         |          |        1 |CE53|C55|| |            |03        |
|1300139291|  10|23.10.2025|80038765|ADMCC_POD |AYB AGUA 600 ML J.ARIAS                 |          |       80 |CA15|RD2|| |            |03        |
|1300139291|  20|23.10.2025|80038758|ADMCC_POD |AYB ALGODON DE AZUCAR J.ARIAS           |          |      100 |CA15|RD2|| |            |03        |
|1300139291|  30|23.10.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |       60 |CA15|RD2|| |            |03        |
|1300139291|  40|23.10.2025|80038764|ADMCC_POD |AYB FRESAS CON CHOCOLATE J.ARIAS        |          |       35 |CA15|RD2|| |            |03        |
|1300139291|  50|23.10.2025|80033713|ADMCC_POD |CANCHA FUT5 AMERICAS FRAN-A CUB F.SITE  |          |        1 |CA15|RD2|| |            |03        |
|1300139290|  10|10.10.2025|80038763|ADMCC_POD |AYB HAMBURGUESA WRAPS J.ARIAS           |          |       15 |CC00|BLO|| |            |03        |
|1300139290|  20|10.10.2025|80038758|ADMCC_POD |AYB ALGODON DE AZUCAR J.ARIAS           |          |       15 |CC00|BLO|| |            |03        |
|1300139290|  30|10.10.2025|80038761|ADMCC_POD |AYB PERRO CALIENTE WRAPS J.ARIAS        |          |       10 |CC00|BLO|| |            |03        |
|1300139290|  40|10.10.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |       10 |CC00|BLO|| |            |03        |
|1300139290|  50|10.10.2025|80038764|ADMCC_POD |AYB FRESAS CON CHOCOLATE J.ARIAS        |          |       12 |CC00|BLO|| |            |03        |
|1300139287|  10|09.10.2025|80038765|ADMCC_POD |AYB AGUA 600 ML J.ARIAS                 |          |      200 |CA27|H08|| |            |03        |
|1300139287|  20|09.10.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |      200 |CA27|H08|| |            |03        |
|1300139287|  30|09.10.2025|80038764|ADMCC_POD |AYB FRESAS CON CHOCOLATE J.ARIAS        |          |      200 |CA27|H08|| |            |03        |
|1300139287|  40|09.10.2025|80038766|ADMCC_POD |AYB JUGO DE CAJA J.ARIAS                |          |      200 |CA27|H08|| |            |03        |
|1300139287|  50|09.10.2025|80038765|ADMCC_POD |AYB AGUA 600 ML J.ARIAS                 |          |      200 |CA27|H08|| |            |03        |
|1300139287|  60|09.10.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |      200 |CA27|H08|| |            |03        |
|1300139287|  70|09.10.2025|80038764|ADMCC_POD |AYB FRESAS CON CHOCOLATE J.ARIAS        |          |      200 |CA27|H08|| |            |03        |
|1300139287|  80|09.10.2025|80038766|ADMCC_POD |AYB JUGO DE CAJA J.ARIAS                |          |      200 |CA27|H08|| |            |03        |
|1300139287|  90|09.10.2025|80038765|ADMCC_POD |AYB AGUA 600 ML J.ARIAS                 |          |      200 |CA27|H08|| |            |03        |
|1300139287| 100|09.10.2025|80038759|ADMCC_POD |AYB CRISPETAS J.ARIAS                   |          |      200 |CA27|H08|| |            |03        |
